породы,Агрессивность,Дрессировка,Потребность в уходе,Здоровье,Отношение к одиночеству,Шум,Активность,Линька,Дружелюбность,Интелект,Охранные качества,размер,редкость,отношение к детям,Время затратность
Кангал,5,3,5,3,8,1,9,6,5,6,9,9,9,10,7
Кане-корсо,7,8,4,9,3,7,7,7,8,7,10,9,7,7,8
"Карело-финская лайка
",5,7,7,6,4,9,10,7,5,8,4,4,7,10,8
"Карельская медвежья собака
",3,9,7,4,8,7,10,9,8,9,9,7,7,7,9
Карликовая такса,6,5,5,5,6,5,5,4,7,9,4,3,6,4,6
Кеесхонд,3,9,7,9,4,9,7,7,7,6,10,1,5,9,1
"Керн-терьер
",3,6,9,3,6,9,9,6,7,9,7,3,5,7,7
Керри-блю-терьер,2,8,7,5,6,8,10,3,8,9,9,5,7,7,9
Китайская хохлатая собака,2,5,3,5,5,5,7,2,6,5,5,3,7,6,3
Кокапу,3,9,9,5,3,6,9,3,9,7,7,3,10,2,2
Комондор,5,8,10,5,3,6,6,2,5,8,9,7,5,8,7
Котон-де-тулеар,1,9,9,8,4,7,9,6,10,10,5,1,9,6,2
Кроличья такса,7,5,3,6,6,5,7,4,5,8,4,5,5,6,6
Ксолоитцкуинтли,3,7,7,10,3,7,5,2,7,6,10,5,3,3,8
Курцхаар,4,9,2,4,1,5,10,7,10,9,8,8,9,7,10
Лабрадор-ретривер,3,10,7,6,6,2,10,9,9,9,4,7,2,9,7
Левретка,1,5,1,8,7,6,7,4,6,5,7,3,8,9,9
Леонбергер,3,7,7,4,5,1,5,8,9,7,9,9,9,9,7
Лхаса апсо,2,5,9,4,3,8,7,5,10,7,5,2,7,5,1
Малинуа,6,9,7,3,5,6,10,6,10,10,10,3,5,10,7
Мальтийская болонка,2,4,9,9,2,5,6,2,7,7,3,1,7,8,3
Мальтипу,5,6,7,6,3,7,6,6,8,7,3,1,1,7,2
Маремма-абруццкая овчарка,4,8,7,6,9,3,10,9,6,8,10,9,9,9,9
Мини-бультерьер,9,6,5,7,2,6,5,4,7,9,10,3,3,5,8
Миттельшнауцер,3,9,9,10,5,5,10,5,8,10,10,5,7,7,9
Мопс,3,5,7,3,2,9,6,8,8,5,8,3,1,9,1
Московская сторожевая собака,5,5,6,7,3,3,8,7,9,6,10,9,6,9,9
Московский дракон,4,7,5,8,4,2,7,3,7,7,1,2,9,7,3
Неаполитанский мастиф,5,5,5,6,3,3,4,5,7,6,10,10,7,8,7
Немецкая овчарка,6,9,3,5,5,5,10,10,10,9,10,9,3,9,9
Немецкий дог,5,6,4,3,6,7,6,5,7,6,10,10,5,9,8
Немецкий ягдтерьер,7,9,4,9,6,5,10,7,5,9,7,4,8,5,10
Новошотландский ретривер,5,9,3,4,7,4,10,9,10,9,2,7,9,10,7
Норвич-терьер,1,5,5,4,7,9,8,3,9,9,5,3,6,6,9
Ньюфаундленд,1,7,9,3,5,2,3,9,10,8,7,10,3,10,4
Пагль,4,9,3,5,7,3,7,8,8,7,3,5,9,7,6
Папильон,8,8,8,7,8,9,7,5,10,9,9,3,2,4,3
Парсон-рассел-терьер,9,9,5,9,3,10,10,3,5,8,8,3,4,6,9
Пекинес,7,3,10,4,5,7,3,7,7,6,9,1,3,2,3
Перуанская голая собака,4,7,7,6,5,8,8,2,5,7,6,4,9,5,7
Петербурская орхидея,1,5,7,3,3,4,7,5,10,5,3,3,6,6,3
Пиренейская горная собака,4,5,8,5,5,4,10,10,5,9,10,10,10,10,5
Питбуль,5,5,1,5,2,1,7,3,7,6,9,5,1,8,5
Померанский шпиц,5,7,7,4,4,9,6,4,9,5,5,3,7,3,1
Помски,5,8,8,7,3,4,10,8,9,9,1,5,5,6,7
Пражский крысарик,4,7,5,6,2,7,7,1,8,8,3,3,5,7,5
Пти-брабансон,6,5,6,6,1,2,5,5,6,6,3,3,5,6,2
Пудель,5,9,10,6,4,6,8,2,9,10,4,5,3,10,9
Ризеншнауцер,4,9,9,8,6,5,8,6,9,9,9,3,7,5,9
Родезийский риджбек,4,7,5,6,6,1,9,2,8,9,6,9,7,5,8
Ротвейлер,5,9,4,5,6,7,7,4,7,9,9,7,1,9,3
Русская гончая,3,9,5,7,5,9,7,5,10,8,2,8,6,8,9
Русская каштанка,4,6,6,5,5,6,8,9,6,8,4,4,6,8,2
Русская пегая гончая,5,9,7,8,3,9,7,3,10,8,2,8,7,5,10
Русская псовая борзая,3,5,10,4,7,1,9,8,8,9,1,7,5,5,10
Русская цветная болонка,1,9,10,8,3,4,7,4,10,9,9,1,7,5,1
Русский охотничий спаниель,4,10,7,7,7,9,7,4,10,9,5,3,5,7,6
Русский той-терьер,5,5,5,5,5,8,5,3,8,5,6,2,6,5,7
Русский черный терьер,3,9,9,6,3,1,9,6,7,7,9,9,5,9,7
Русско-европейская лайка,5,9,7,7,3,10,10,8,9,7,7,9,7,5,10
Салюки,5,3,4,5,2,3,9,3,8,6,2,6,5,8,9
Самоедская собака,2,5,9,7,5,10,8,9,9,6,5,5,2,9,7
Сахалинский хаски,2,3,9,9,3,4,9,9,9,8,3,9,7,7,10
